Line #   | Statement                                          | #failedTests(s) | #passedTests(s) | total_failed | Suspiciousness 
97       |     return result;                                 | 0               | 884             | 0            | 0.0            
100      | bool Own_Below_Threat()                            | 0               | 602             | 0            | 0.0            
102      |     return (Own_Tracked_Alt < Other_Tracked_Alt);  | 0               | 602             | 0            | 0.0            
105      | bool Own_Above_Threat()                            | 0               | 581             | 0            | 0.0            
107      |     return (Other_Tracked_Alt < Own_Tracked_Alt);  | 0               | 581             | 0            | 0.0            
110      | int alt_sep_test()                                 | 0               | 1576            | 0            | 0.0            
116      |     enabled = High_Confidence && (Own_Tracked_Alt_ | 0               | 1576            | 0            | 0.0            
117      |     tcas_equipped = Other_Capability == TCAS_TA;   | 0               | 1576            | 0            | 0.0            
118      |     intent_not_known = Two_of_Three_Reports_Valid  | 0               | 1576            | 0            | 0.0            
120      |     alt_sep = UNRESOLVED;                          | 0               | 1576            | 0            | 0.0            
122      |     if (enabled && ((tcas_equipped && intent_not_k | 0               | 1576            | 0            | 0.0            
124      | 	need_upward_RA = Non_Crossing_Biased_Climb() && O | 0               | 884             | 0            | 0.0            
125      | 	need_downward_RA = Non_Crossing_Biased_Descend()  | 0               | 884             | 0            | 0.0            
126      | 	if (need_upward_RA && need_downward_RA)           | 0               | 884             | 0            | 0.0            
131      | 	else if (need_upward_RA)                          | 0               | 884             | 0            | 0.0            
132      | 	    alt_sep = UPWARD_RA;                          | 0               | 144             | 0            | 0.0            
133      | 	else if (need_downward_RA)                        | 0               | 740             | 0            | 0.0            
134      | 	    alt_sep = DOWNWARD_RA;                        | 0               | 125             | 0            | 0.0            
136      | 	    alt_sep = UNRESOLVED;                         | 0               | 615             | 0            | 0.0            
137      |     }                                              | 0               | 884             | 0            | 0.0            
139      |     return alt_sep;                                | 0               | 1576            | 0            | 0.0            
142      | main(argc, argv)                                   | 0               | 1607            | 0            | 0.0            
146      |     if(argc < 13)                                  | 0               | 1607            | 0            | 0.0            
148      | 	fprintf(stdout, "Error: Command line arguments ar | 0               | 31              | 0            | 0.0            
149      | 	fprintf(stdout, "Cur_Vertical_Sep, High_Confidenc | 0               | 31              | 0            | 0.0            
150      | 	fprintf(stdout, "Own_Tracked_Alt, Own_Tracked_Alt | 0               | 31              | 0            | 0.0            
151      | 	fprintf(stdout, "Alt_Layer_Value, Up_Separation,  | 0               | 31              | 0            | 0.0            
152      | 	fprintf(stdout, "Other_RAC, Other_Capability, Cli | 0               | 31              | 0            | 0.0            
153      | 	exit(1);                                          | 0               | 31              | 0            | 0.0            
155      |     initialize();                                  | 0               | 1576            | 0            | 0.0            
156      |     Cur_Vertical_Sep = atoi(argv[1]);              | 0               | 1576            | 0            | 0.0            
157      |     High_Confidence = atoi(argv[2]);               | 0               | 1576            | 0            | 0.0            
158      |     Two_of_Three_Reports_Valid = atoi(argv[3]);    | 0               | 1576            | 0            | 0.0            
159      |     Own_Tracked_Alt = atoi(argv[4]);               | 0               | 1576            | 0            | 0.0            
160      |     Own_Tracked_Alt_Rate = atoi(argv[5]);          | 0               | 1576            | 0            | 0.0            
161      |     Other_Tracked_Alt = atoi(argv[6]);             | 0               | 1576            | 0            | 0.0            
162      |     Alt_Layer_Value = atoi(argv[7]);               | 0               | 1576            | 0            | 0.0            
163      |     Up_Separation = atoi(argv[8]);                 | 0               | 1576            | 0            | 0.0            
164      |     Down_Separation = atoi(argv[9]);               | 0               | 1576            | 0            | 0.0            
165      |     Other_RAC = atoi(argv[10]);                    | 0               | 1576            | 0            | 0.0            
166      |     Other_Capability = atoi(argv[11]);             | 0               | 1576            | 0            | 0.0            
167      |     Climb_Inhibit = atoi(argv[12]);                | 0               | 1576            | 0            | 0.0            
169      |     fprintf(stdout, "%d\n", alt_sep_test());       | 0               | 1576            | 0            | 0.0            
170      |     exit(0);                                       | 0               | 1576            | 0            | 0.0            
