Line #   | Statement                                          | #failedTests(s) | #passedTests(s) | total_failed | Suspiciousness 
116      |     enabled = High_Confidence && (Own_Tracked_Alt_ | 79              | 1497            | 79           | 4.17           
117      |     tcas_equipped = Other_Capability == TCAS_TA;   | 79              | 1497            | 79           | 4.17           
118      |     intent_not_known = Two_of_Three_Reports_Valid  | 79              | 1497            | 79           | 4.17           
120      |     alt_sep = UNRESOLVED;                          | 79              | 1497            | 79           | 4.17           
122      |     if (enabled && ((tcas_equipped && intent_not_k | 79              | 1497            | 79           | 4.17           
139      |     return alt_sep;                                | 79              | 1497            | 79           | 4.17           
155      |     initialize();                                  | 79              | 1497            | 79           | 4.17           
156      |     Cur_Vertical_Sep = atoi(argv[1]);              | 79              | 1497            | 79           | 4.17           
157      |     High_Confidence = atoi(argv[2]);               | 79              | 1497            | 79           | 4.17           
158      |     Two_of_Three_Reports_Valid = atoi(argv[3]);    | 79              | 1497            | 79           | 4.17           
159      |     Own_Tracked_Alt = atoi(argv[4]);               | 79              | 1497            | 79           | 4.17           
160      |     Own_Tracked_Alt_Rate = atoi(argv[5]);          | 79              | 1497            | 79           | 4.17           
161      |     Other_Tracked_Alt = atoi(argv[6]);             | 79              | 1497            | 79           | 4.17           
162      |     Alt_Layer_Value = atoi(argv[7]);               | 79              | 1497            | 79           | 4.17           
163      |     Up_Separation = atoi(argv[8]);                 | 79              | 1497            | 79           | 4.17           
164      |     Down_Separation = atoi(argv[9]);               | 79              | 1497            | 79           | 4.17           
165      |     Other_RAC = atoi(argv[10]);                    | 79              | 1497            | 79           | 4.17           
166      |     Other_Capability = atoi(argv[11]);             | 79              | 1497            | 79           | 4.17           
167      |     Climb_Inhibit = atoi(argv[12]);                | 79              | 1497            | 79           | 4.17           
169      |     fprintf(stdout, "%d\n", alt_sep_test());       | 79              | 1497            | 79           | 4.17           
170      |     exit(0);                                       | 79              | 1497            | 79           | 4.17           
142      | main(argc, argv)                                   | 79              | 1528            | 79           | 4.08           
146      |     if(argc < 13)                                  | 79              | 1528            | 79           | 4.08           
136      | 	    alt_sep = UNRESOLVED;                         | 45              | 581             | 79           | 3.29           
133      | 	else if (need_downward_RA)                        | 45              | 661             | 79           | 2.91           
54       | int ALIM ()                                        | 34              | 514             | 79           | 2.07           
56       |  return Positive_RA_Alt_Thresh[Alt_Layer_Value];   | 34              | 514             | 79           | 2.07           
77       | 	result = Own_Above_Threat() && (Cur_Vertical_Sep  | 0               | 212             | 79           | 0.0            
95       | 	result = !(Own_Above_Threat()) || ((Own_Above_Thr | 0               | 212             | 79           | 0.0            
105      | bool Own_Above_Threat()                            | 0               | 442             | 79           | 0.0            
107      |     return (Other_Tracked_Alt < Own_Tracked_Alt);  | 0               | 442             | 79           | 0.0            
134      | 	    alt_sep = DOWNWARD_RA;                        | 0               | 80              | 79           | 0.0            
148      | 	fprintf(stdout, "Error: Command line arguments ar | 0               | 31              | 79           | 0.0            
149      | 	fprintf(stdout, "Cur_Vertical_Sep, High_Confidenc | 0               | 31              | 79           | 0.0            
150      | 	fprintf(stdout, "Own_Tracked_Alt, Own_Tracked_Alt | 0               | 31              | 79           | 0.0            
151      | 	fprintf(stdout, "Alt_Layer_Value, Up_Separation,  | 0               | 31              | 79           | 0.0            
152      | 	fprintf(stdout, "Other_RAC, Other_Capability, Cli | 0               | 31              | 79           | 0.0            
153      | 	exit(1);                                          | 0               | 31              | 79           | 0.0            
